feature,ens_share_pct,ens_mean_abs_shap,coverage,n_models,mean_rank,rank_sd,rank_min,rank_max,stability_index,stability_tier,ens_mean_signed
H_Run_Differential_Per_Game_YTD,1.8735442616084848,0.1033118161428571,1.0,14,19.357142857142858,9.446141637554176,7,37,28.803284494697035,Variable,0.0185034754285714
G_H_CLL_OPL_Prob_Diff,1.799008915859627,0.1026186360714285,1.0,14,19.928571428571427,5.662713707279598,9,28,25.591285135851024,Steady,-0.0075928031428571
G_VHRatio_StartingPitcher_StrikesImpact_YTD,1.7846750752343703,0.1183628721428571,1.0,14,23.142857142857142,10.405061562645797,4,38,33.54791870550294,Variable,0.0060407395
G_VHRatio_StartingPitcher_StrikeoutAccuracy_5G,1.7460859791943013,0.1284206625714285,1.0,14,20.642857142857142,8.371782050070196,10,33,29.01463919292734,Variable,0.0066930163571428
G_VHRatio_Run_Pythag_20G,1.7226659597767244,0.1017563105714285,1.0,14,21.785714285714285,8.511996336503739,9,35,30.297710622218023,Variable,-0.0110215302142857
H_EarnedRuns_YTD,1.5971672062412088,0.0797430604285714,1.0,14,24.285714285714285,6.797358430497325,12,36,31.08307271621161,Variable,-0.0052597895
G_VHRatio_Weighted_Offense_Index_YTD,1.567266624072058,0.0703560553571428,1.0,14,23.25,8.108086792121274,10,37,31.358086792121277,Variable,0.0046120184285714
G_VHRatio_FIP,1.5601510898024955,0.0897534719285714,1.0,14,22.0,9.486832980505138,6,37,31.486832980505135,Variable,-0.0010036225
G_VHRatio_K_Minus_BB_Pct_YTD,1.5298745078891616,0.0730865762857142,1.0,14,23.428571428571427,7.889543583705186,11,36,31.31811501227661,Variable,-0.0140065798571428
G_VHRatio_TotalDistanceTravelled_3G,1.4983746265461635,0.0534077851428571,1.0,14,24.785714285714285,9.313420205186029,12,38,34.09913449090031,Variable,-0.003770147
G_VHRatio_Run_Pythag,1.416018434981544,0.0805585722857142,1.0,14,25.571428571428573,6.32132768281074,13,35,31.892756254239316,Variable,-0.0155111889999999
G_VHRatio_FIP_YTD,1.3729659345721743,0.0687141397857142,1.0,14,27.214285714285715,6.581126384578549,18,37,33.79541209886426,Variable,0.0127815221428571
G_VHRatio_K_Per_9_20G,1.3458472445848424,0.0706763773571428,1.0,14,27.785714285714285,3.5290340934387503,22,35,31.314748379153038,Steady,0.0019735821428571
G_VHRatio_EarnedRuns,1.313232949358211,0.0686632979285714,1.0,14,28.214285714285715,7.012015926032882,18,38,35.2263016403186,Variable,0.0024050380714285
V_Run_Differential_Per_Game_YTD,1.311875329615112,0.0540852304285714,1.0,14,28.071428571428573,6.4968595239137965,18,38,34.56828809534237,Variable,-0.0089517149999999
H_Run_Differential_Per_Game_20G,1.2646181119207718,0.0517038233571428,1.0,14,29.928571428571427,6.6918317555732045,15,38,36.62040318414464,Variable,7.601314285714292e-05
G_VHRatio_wOBA_YTD,1.1964702351677212,0.0492389306428571,1.0,14,30.357142857142858,8.820488671732608,11,38,39.177631528875466,Variable,-0.0006555447142857
G_VHRatio_MenOnBase_Strength_20G,1.1802934103648277,0.0712593994285714,1.0,14,30.357142857142858,6.217568919224468,13,38,36.57471177636732,Variable,-0.0051261221428571
G_VHRatio_FIP_YTD_HV,1.0738216774578866,0.0510557228571428,1.0,14,32.42857142857143,5.589713584718243,20,38,38.01828501328967,Steady,-0.0045997754285714
G_VHRatio_OPS_YTD,1.0490595608288942,0.0528121269999999,1.0,14,32.892857142857146,6.4369984448958695,18,38,39.329855587753016,Variable,-0.0002384124285714
